STIGID,VID,CheckType,CheckName,Expected,Expected2,Severity
ESXI-80-000052,V-258738,SshConfig,ignorerhosts,"ignorerhosts yes",,medium
ESXI-80-000068,V-258739,AdvancedSetting,UserVars.ESXiShellInteractiveTimeout,900,0,medium
ESXI-80-000085,V-258740,SecureBoot,SecureBoot,true,,medium
ESXI-80-000094,V-258741,SecureBoot2,SecureBoot,true,,medium
ESXI-80-000111,V-258742,AdvancedSetting,Security.AccountUnlockTime,900,,medium
ESXI-80-000113,V-258743,AdvancedSetting,Syslog.global.auditRecord.storageCapacity,100,,medium
ESXI-80-000114,V-258744,AdvancedSetting,Syslog.global.logHost,"site specific syslog server",,medium
ESXI-80-000124,V-258745,Service,NTP Daemon,Running,On,medium
ESXI-80-000133,V-258746,AdvancedSetting,SoftwareAcceptanceLevel,PartnerSupported,,high
ESXI-80-000145,V-258747,CHAP,CHAP,true,true,medium
ESXI-80-000160,V-258748,vMotionVMKernel,UniqueVLAN,"manually review",,medium
ESXI-80-000187,V-258750,SshConfig,ciphers,"ciphers aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr",,medium,,,,medium
ESXI-80-000189,V-258751,AdvancedSetting,DCUI.Access,root,,medium
ESXI-80-000191,V-258752,AdvancedSetting,Config.Etc.Issue,"You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations. -At any time, the USG may inspect and seize data stored on this IS. -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose. -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy. -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.",,medium
ESXI-80-000192,V-258753,SshConfig,banner,"banner /etc/issue",,medium
ESXI-80-000193,V-258754,Service,SSH,Stopped,off,medium
ESXI-80-000194,V-258755,Service,ESXi Shell,Stopped,off,medium
ESXI-80-000195,V-258756,AdvancedSetting,UserVars.ESXiShellTimeout,600,,medium
ESXI-80-000196,V-258757,AdvancedSetting,UserVars.DcuiTimeOut,600,,medium
ESXI-80-000198,V-258758,EnabledServices,Management,"manually review",,medium
ESXI-80-000199,V-258759,EnabledServices,vSAN,"manually review",,medium
ESXI-80-000201,V-258760,LockdownMode,ExceptionUsersList,None,,medium
ESXI-80-000202,V-258761,SshConfig,hostbasedauthentication,"hostbasedauthentication no",,medium
ESXI-80-000204,V-258762,SshConfig,permituserenvironment,"permituserenvironment no",,medium
ESXI-80-000207,V-258763,SshConfig,gatewayports,"gatewayports no",,medium
ESXI-80-000209,V-258764,SshConfig,permittunnel,"permittunnel no",,medium
ESXI-80-000210,V-258765,SshConfig,clientalivecountmax,"clientalivecountmax 3",,medium
ESXI-80-000211,V-258766,SshConfig,clientaliveinterval,"clientaliveinterval 200",,medium
ESXI-80-000212,V-258767,SnmpStatus,SNMPStatus,Disabled,,medium
ESXI-80-000213,V-258768,AdvancedSetting,mem.ShareForceSalting,2,,low
ESXI-80-000214,V-258769,FirewallDefaultPolicy,FirewallDefaultPolicy,false,false,medium
ESXI-80-000215,V-258770,AdvancedSetting,Net.BlockGuestBPDU,1,,medium
ESXI-80-000216,V-258771,ForgedTransmits,ForgedTransmits,false,true,medium
ESXI-80-000217,V-258772,MacPolicy,MacPolicy,false,true,high
ESXI-80-000218,V-258773,PromiscuousMode,PromiscuousMode,false,true,medium
ESXI-80-000219,V-258774,AdvancedSetting,Net.DVFilterBindIpAddress,,,medium
ESXI-80-000220,V-258775,RestrictVGT,RestrictVGT,"Not 4095",,medium
ESXI-80-000221,V-258776,PatchStatus,PatchStatus,"Manually Validate Build Number",,high
ESXI-80-000222,V-258777,AdvancedSetting,UserVars.SuppressShellWarning,0,,medium
ESXI-80-000223,V-258778,AdvancedSetting,UserVars.SuppressHyperthreadWarning,0,,medium
ESXI-80-000224,V-258779,AdvancedSetting,Syslog.global.logCheckSSLCerts,true,,medium
ESXI-80-000225,V-258780,AdvancedSetting,Mem.MemEagerZero,1,,medium
ESXI-80-000226,V-258781,AdvancedSetting,Config.HostAgent.vmacore.soap.sessionTimeout,30,,medium
ESXI-80-000227,V-258782,AdvancedSetting,Security.PasswordMaxDays,90,,medium
ESXI-80-000228,V-258783,Service,CIM Server,Stopped,off,medium
ESXI-80-000229,V-258784,RootCerts,DoDRootCerts,"Manually verify the host uses DoD Root Certs",,medium
ESXI-80-000230,V-258785,SshConfig,allowtcpforwarding,"allowtcpforwarding no",,medium
ESXI-80-000231,V-258786,Service,slpd,stopped,off,medium
ESXI-80-000232,V-258787,AdvancedSetting,Syslog.global.auditRecord.storageEnable,true,,medium
ESXI-80-000233,V-258788,AdvancedSetting,Syslog.global.auditRecord.remoteEnable,true,,medium
ESXI-80-000234,V-258789,AdvancedSetting,Syslog.global.certificate.strictX509Compliance,true,,medium
ESXI-80-000235,V-258790,AdvancedSetting,Syslog.global.logLevel,info,,medium
ESXI-80-000236,V-258791,VMConfigOverride,VMConfigOverride,0,,medium
ESXI-80-000237,V-258792,VMLoggerOverride,VMLoggerOverride,,,medium
ESXI-80-000238,V-258793,TpmMode,TpmMode,Enabled,,medium
ESXI-80-000239,V-258794,FirewallException,,AnyRule,false,medium
ESXI-80-000240,V-258795,HostProfiles,HostProfiles,"Host Profiles are not used. NA",,medium
ESXI-80-000241,V-258796,AdvancedSetting,Config.HostAgent.plugins.hostsvc.esxAdminsGroup,"System does not use Active Directory. NA",,medium
ESXI-80-000243,V-258797,LocalLogPersistent,LocalLogPersistent,true,,medium
ESXI-80-000244,V-258798,AdvancedSetting,VMkernel.Boot.execInstalledOnly,true,,medium
ESXI-80-000245,V-258799,SufficientEntropy,SufficientEntropy,false,0,medium
ESXI-80-000246,V-258800,LogFilter,LogFilteringEnabled,false,,medium
ESXI-80-000247,V-265974,DodApprovedEncryption,TLS Profile,NIST_2024,,medium
ESXI-80-000248,V-265975,KeyPersistence,KeyPersistence,false,,medium
ESXI-80-000249,V-265976,DcuiShellAccess,DcuiShellAccess,false,,medium
ESXI-80-000250,V-265977,AdvancedSetting,Net.BMCNetworkEnable,0,,medium
